,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0,95.72,95.73,0,33.93,0,0,48.69,34.97,0,29.73,0,108.54,2.98,35.27,25.43,89.34,25.49,85.34,22,84.02,21.89,72.74,28.54,27.64,0,98.42,98.44,0,33.95,0,0,49.46,34.5,0,30.47,0,83.19,2.97,33.82,26.65,90.52,26.71,85.09,19.28,82.11,19.17,67.66,29.59,28.69,0,96.49,96.5,0,34.12,0,0,49.58,0,0,31.88,0,91.42,2.98,34.86,27.46,91.04,27.52,85.68,27.67,60.18,27.55,71.24,30.46,29.56,0,97.95,97.97,0,35.66,0,0,50.22,0,0,31.37,0,71.12,2.97,34.07,28.52,89.48,28.59,85.51,25.96,62.71,25.84,71.31,31.43,30.53,0,114.45,0,0,33.02,0,0,47.67,35.47,0,30.52,0,0,2.99,24.94,21.39,86.77,21.45,83.16,21.47,82.63,21.36,69.66,37.45,23.13,0,114.34,0,0,32.76,0,0,47.47,35.99,0,30.28,0,0,2.99,25,21.55,87.35,21.61,83.7,21.47,81.7,21.36,70.45,37.51,23.28,0,98.44,98.46,0,35.7,0,0,49.99,34.65,0,29.97,0,66.8,2.97,33.81,28.63,89.51,28.7,86.05,19.28,81.86,19.18,69.27,31.51,30.61,0,97.32,97.34,0,35.83,0,0,49.74,35.07,0,30.17,0,84.75,2.97,34.41,27.64,88.29,27.71,85.56,20.55,82.4,20.44,69.9,30.62,29.72,0,96.73,96.75,0,34.53,0,0,49.69,34.72,0,29.5,0,85.86,2.98,34.73,27.86,90.76,27.92,85.87,21.14,83.59,21.03,72.61,30.83,29.93,0,98.08,98.1,0,35.6,0,0,50.05,34.81,0,30.65,0,70.37,2.97,34,28.48,89.54,28.55,85.8,19.36,81.65,19.25,67.12,31.38,30.48,0,97.86,97.88,0,35.23,0,0,50.4,0,0,31.35,0,69.47,2.97,34.12,28.74,90.44,28.8,85.35,25.93,62.56,25.81,71.33,31.63,30.73,0,112.76,0,0,32.83,0,0,47.76,35.35,0,30.12,0,0,2.99,25.9,21.13,86.82,21.19,82.75,22.35,83.71,22.24,71.86,38.14,22.87,0,99.07,99.09,0,35.13,0,0,49.39,34.57,0,29.93,0,82.8,2.97,33.47,26.3,88.18,26.37,84.89,19.04,81.75,18.93,69.15,29.26,28.36,0,92.45,92.47,0,33.06,0,0,47.46,35.27,0,31.4,0,0,2.98,37.01,22.56,87.89,22.62,84.72,22.17,83.68,22.05,67.41,40.13,24.3
2,0,94.41,94.43,0,32.89,0,0,48.13,0,0,0,0,111.69,2.98,35.97,25.94,91.53,25.99,86.87,31.55,64.09,31.55,59.61,29.05,28.15,0,97.82,97.84,0,33.12,0,0,48.68,34.16,0,29.14,0,85.18,2.97,34.14,26.68,91.9,26.74,86.61,19.89,83.28,19.79,72.5,29.61,28.71,0,96.14,96.15,0,34.02,0,0,47.83,35.5,0,29.32,0,90.81,2.98,35.05,27.55,91.31,27.62,89.06,21.34,82.44,21.24,73.4,30.53,29.63,0,96.99,97.01,0,34.34,0,0,49.09,0,0,30.52,0,75.94,2.98,34.59,28.54,91.75,28.61,87.71,26.51,62.96,26.4,74.7,31.44,30.54,0,117.84,0,0,32.66,0,0,49.12,33.59,0,29.69,0,94.32,2.99,23,25.09,91.04,25.14,84.17,20.36,84.7,20.25,71.24,28.07,27.17,0,113.43,0,0,32.29,0,0,47.32,34.72,0,30.56,0,0,2.99,25.52,20.77,87.32,20.83,83.18,22.11,84.56,22,70.18,37.86,22.49,0,98.28,98.3,0,33.87,0,0,50.43,33.71,0,28.79,0,68.35,2.97,33.9,28.54,92.54,28.6,85.1,19.84,83.99,19.74,73.53,31.41,30.51,0,96.47,96.49,0,34.82,0,0,48.73,34.57,0,29.97,0,87.68,2.98,34.87,27.67,90.07,27.74,87.51,21.08,83.79,20.97,71.06,30.65,29.75,0,95.64,95.66,0,33.68,0,0,49.08,0,0,30.44,0,90.1,2.98,35.31,27.95,92.26,28.01,87.12,27.92,64.38,27.81,76.37,30.92,30.02,0,97.39,97.41,0,34.04,0,0,48.76,34.29,0,30.34,0,73.27,2.97,34.37,28.48,92.19,28.54,88.25,19.8,82.99,19.69,68.61,31.35,30.45,0,96.72,96.74,0,34.6,0,0,49.58,0,0,30.65,0,75.31,2.98,34.74,28.74,91.53,28.8,86.96,26.56,63.51,26.44,74.32,31.65,30.75,0,117.22,0,0,34.61,0,0,49.25,0,0,31.16,0,98.2,2.99,23.35,25.04,87.81,25.1,83.89,26.84,64.17,26.73,72.9,28.09,27.19,0,98.96,98.97,0,33.3,0,0,49.15,34.31,0,29.9,0,83.06,2.97,33.53,26.32,91.25,26.38,85.35,19.11,82.27,19.01,69.33,29.25,28.35,0,91.26,91.28,0,31.99,0,0,46.18,35.64,0,30.61,0,0,2.98,37.64,21.98,88.97,22.03,86.39,22.97,83.82,22.86,70.89,40.88,23.68
3,0,94.21,94.23,0,32.56,0,0,47.9,0,0,0,0,110.78,2.98,36.08,26.25,92.37,26.31,87.62,31.7,63.68,31.7,58.81,29.35,28.45,0,97.54,97.56,0,32.68,0,0,48.12,33.86,0,28.75,0,85.81,2.97,34.29,26.74,92.67,26.8,87.7,20.15,84.04,20.05,73.95,29.67,28.77,0,95.91,95.93,0,33.67,0,0,48.77,34.89,0,29.08,0,90.85,2.98,35.17,27.63,91.97,27.69,87.39,21.6,83.75,21.5,74.38,30.61,29.71,0,96.75,96.77,0,34.12,0,0,48.85,0,0,30.55,0,77.76,2.98,34.72,28.5,92.09,28.57,88.1,26.69,62.74,26.57,74.79,31.41,30.51,0,116.72,0,0,33.21,0,0,47.78,0,0,30.27,0,97.92,2.99,23.64,25.37,90.45,25.43,86.97,27.15,64.12,27.05,76.18,28.38,27.48,0,118.1,0,0,32.63,0,0,47.75,34.12,0,28.97,0,93.42,2.99,22.85,25.04,91.04,25.09,86.69,20.21,83.67,20.11,73.34,28.01,27.11,0,97.17,97.19,0,34.13,0,0,49.31,0,0,30.5,0,74.72,2.97,34.49,28.54,92.11,28.61,87.28,26.36,64.1,26.25,74.62,31.44,30.54,0,95.79,95.81,0,33.85,0,0,48.73,0,0,30.96,0,90.31,2.98,35.23,27.77,91.8,27.83,87.6,27.69,64.2,27.58,74.41,30.75,29.85,0,94.87,94.89,0,33.46,0,0,48.8,0,0,0,0,93.8,2.98,35.72,28.1,92.76,28.16,87.79,30.86,63.98,30.86,60.73,31.09,30.19,0,97.25,97.27,0,34.39,0,0,0,34.28,0,28.93,0,67.09,2.97,34.45,29.66,92.81,29.77,66.31,20.18,83.38,20.08,73.44,32.13,31.23,0,96.82,96.84,0,33.84,0,0,49.12,0,0,30.43,0,75.77,2.98,34.68,28.69,92.74,28.75,87.78,26.64,62.71,26.53,75.13,31.59,30.69,0,115.56,0,0,32.46,0,0,48.34,0,0,0,0,102.74,2.99,24.3,25.48,91.75,25.53,86.03,30.25,63.6,30.25,58.65,28.51,27.61,0,98.27,98.29,0,33.07,0,0,48.37,33.91,0,28.61,0,85.28,2.97,33.9,26.35,91.65,26.41,86.85,19.77,83.59,19.67,73.98,29.28,28.38,0,90.87,90.89,0,31.35,0,0,46.33,35.23,0,29.73,0,0,2.98,37.84,21.21,89.2,21.26,85.35,23.62,85.2,23.51,74.39,41.2,22.9
4,0,93.74,93.76,0,0,0,0,47.46,0,0,31.95,0,100.75,2.98,36.33,28.31,77.03,28.27,90.37,29.18,63.65,29.07,72.5,30.95,30.05,0,96.5,96.52,0,0,0,0,48.18,0,0,28.96,0,83.45,2.98,34.85,28.23,76.93,28.19,88.98,26.82,65.3,26.72,80.01,30.76,29.86,0,94.33,94.34,0,0,0,0,0,36.52,0,0,0,69.97,2.98,36.01,31.88,76.48,31.88,68.27,27.71,86.94,27.71,60.45,34.17,33.27,0,96.11,96.13,0,0,0,0,48.78,0,0,30.14,0,75.56,2.98,35.06,29.61,75.78,29.57,89.25,27.1,62.11,26.99,76.55,32.1,31.2,0,115,0,0,0,0,0,47.79,0,0,0,0,93.77,2.99,24.63,27.38,76.02,27.34,88.85,30.37,64.16,30.37,59.47,29.98,29.08,0,116.69,0,0,32.03,0,0,47.15,0,0,29.55,0,97.99,2.99,23.66,25.36,92.31,25.42,88.08,27.19,64.53,27.09,78.53,28.35,27.45,0,95.36,95.38,0,0,0,0,48.73,0,0,0,0,78.98,2.98,35.47,29.81,75.93,29.77,89.55,29.87,63.65,29.87,60.78,32.32,31.42,0,95.41,95.43,0,33.04,0,0,48.07,0,0,29.91,0,91.29,2.98,35.44,27.91,93.26,27.97,88.97,28.04,64.06,27.93,78.21,30.88,29.98,0,93.59,93.61,0,0,0,0,48.46,0,0,0,0,90.27,2.98,36.41,29.85,76.6,29.81,90.09,31.5,63.94,31.5,60.49,32.43,31.53,0,96.37,96.39,0,0,0,0,0,33.99,0,28.58,0,55.39,2.98,34.92,31.62,75.83,31.62,66.69,20.7,84.37,20.6,75,33.84,32.94,0,96.43,96.45,0,33.6,0,0,48.62,0,0,30.02,0,78.24,2.98,34.89,28.67,93.11,28.73,88.7,26.93,62.49,26.83,76.77,31.56,30.66,0,115.72,0,0,0,0,0,48.32,0,0,31.73,0,91.81,2.99,24.21,27.14,75.84,27.1,87.65,27.45,63.42,27.34,71.55,29.73,28.83,0,97.1,97.12,0,0,0,0,47.67,0,0,29.83,0,83.74,2.97,34.53,27.76,76.5,27.72,89.43,26.33,64.86,26.22,76.78,30.29,29.39,0,94.59,94.61,0,0,0,0,47.84,0,0,30.69,0,101.05,2.98,35.87,27.68,76.53,27.64,89.05,28.84,64.26,28.73,76.47,30.33,29.43
5,0,92.69,92.71,0,0,0,0,0,0,0,29.91,0,82.27,2.98,36.88,31.75,76.74,31.75,69.42,30,63.33,29.89,80.2,34.11,33.21,0,95.18,95.2,0,0,0,0,47.61,0,0,0,0,87.14,2.98,35.56,28.85,76.75,28.82,90.66,29.92,64.88,29.92,61.03,31.41,30.51,0,94.65,94.67,0,0,0,0,48.33,36.27,0,0,0,83.18,2.98,35.84,29.91,75.01,29.88,90.38,27.69,87.37,27.69,60.45,32.45,31.55,0,94.96,94.98,0,0,0,0,0,36.4,0,0,0,59.81,2.98,35.67,32.31,76.41,32.31,68.25,26.86,86.3,26.86,60.18,34.55,33.65,0,114.9,0,0,0,0,0,47.85,0,0,0,0,91.44,2.99,24.68,27.71,76.77,27.67,89.07,30.37,63.72,30.37,59.06,30.29,29.39,0,114.91,0,0,0,0,0,47.27,0,0,0,0,93.63,2.99,24.68,27.33,76.46,27.29,89.73,30.21,64.39,30.21,61.37,29.92,29.02,0,94.65,94.67,0,0,0,0,47.75,0,0,0,0,79.91,2.98,35.84,30.22,76.25,30.18,91.76,30.32,63.44,30.32,60.72,32.73,31.83,0,93.25,93.26,0,0,0,0,0,0,0,0,0,72.92,2.98,36.59,32.5,77.1,32.5,67.76,31.7,63.73,31.7,60.71,34.8,33.9,0,92.2,92.21,0,0,0,0,0,0,0,0,0,74.58,2.98,37.14,33.06,76.66,33.06,69.81,32.34,63.66,32.34,59.79,35.37,34.47,0,94.95,94.97,0,0,0,0,48.45,0,0,0,0,77.31,2.98,35.68,30.35,76.48,30.31,90.6,30.2,64.66,30.2,60.82,32.85,31.95,0,94.85,94.87,0,0,0,0,0,36.5,0,0,0,61.55,2.98,35.74,32.19,76.13,32.19,69.27,26.9,86.27,26.9,60.16,34.43,33.53,0,115.8,0,0,0,0,0,47.11,0,0,31.4,0,88.68,2.99,24.17,27.49,75.45,27.45,90.18,27.42,63.05,27.3,72.65,30.05,29.15,0,94.67,94.69,0,0,0,0,0,0,0,0,0,73.37,2.98,35.83,31.09,76.46,31.09,70.63,30.11,64.58,30.11,60.28,33.4,32.5,0,93.15,93.17,0,0,0,0,0,0,0,0,0,84.04,2.98,36.64,31.35,76.39,31.35,69.46,32.15,64.25,32.15,61.74,33.72,32.82
6,0,91.83,91.85,0,0,0,0,0,0,0,0,0,81.98,2.98,37.33,32.6,76.42,32.6,68.51,33.02,62.85,33.02,60.93,34.96,34.06,0,93.74,93.76,0,0,0,0,0,0,0,0,0,71.21,2.98,36.33,32.09,76.48,32.09,69.13,30.83,64.39,30.83,60.17,34.38,33.48,0,94.09,94.11,0,0,0,0,48.71,0,0,32.46,0,83.41,2.98,36.14,30.29,76.3,30.25,90.06,28.53,64.75,28.4,70.17,32.83,31.93,0,95.93,95.95,0,0,0,0,49.91,36.43,0,0,0,69.31,2.98,35.16,30.55,74.66,30.51,88.03,26.54,85.94,26.54,58.37,33.02,32.12,0,115.46,0,0,0,0,0,0,0,0,31.44,0,67.66,2.99,24.36,30.33,76.67,30.33,67.73,27.63,63.69,27.52,72.73,32.61,31.71,0,115.5,0,0,0,0,0,0,0,0,0,0,70.76,2.99,24.34,30.07,75.79,30.07,68.85,30.19,64,30.19,60.02,32.36,31.46,0,93.42,93.44,0,0,0,0,0,0,0,0,0,64.27,2.98,36.49,33.15,74.6,33.15,67.99,31.15,63.44,31.15,59.46,35.41,34.51,0,92.56,92.58,0,0,0,0,0,0,0,0,0,71.7,2.98,36.95,33.15,74.01,33.15,67.41,32.16,62.44,32.16,59.18,35.45,34.55,0,92.54,92.56,0,0,0,0,0,0,0,31.91,0,69.02,2.98,36.96,33.31,76.26,33.31,68.95,29.49,63.21,29.37,72.95,35.59,34.69,0,95.28,95.3,0,0,0,0,49.51,0,0,0,0,74.89,2.98,35.5,30.51,75.23,30.47,88.76,30.24,64.04,30.24,59.34,33,32.1,0,94.89,94.91,0,0,0,0,0,36.63,0,0,0,58.25,2.98,35.71,32.58,74.55,32.58,67.91,26.97,85.99,26.97,58.49,34.81,33.91,0,115.38,0,0,0,0,0,0,0,0,0,0,69.71,2.99,24.41,30.21,76.23,30.21,70.12,30.18,62.03,30.18,61.23,32.49,31.59,0,93.44,93.46,0,0,0,0,0,0,0,0,0,73.85,2.98,36.49,31.91,76.7,31.91,67.59,30.83,64.03,30.83,60.09,34.22,33.32,0,92.55,92.57,0,0,0,0,0,0,0,0,0,82.14,2.98,36.96,32.04,75.93,32.04,67.46,32.54,63.61,32.54,59.42,34.4,33.5
7,0,112.84,0,0,0,0,0,48.95,0,0,0,0,87.39,2.99,25.85,29.65,76.02,29.61,88.97,31.85,62.23,31.85,59.56,32.22,31.32,0,93.7,93.72,0,0,0,0,0,0,0,0,0,68.08,2.98,36.35,32.56,75.99,32.56,67.64,31.05,63.73,31.05,58.67,34.84,33.94,0,93.36,93.38,0,0,0,0,0,0,0,32.63,0,65.87,2.98,36.53,33.11,75.67,33.11,67.74,28.94,63.69,28.81,69.83,35.38,34.48,0,92.16,92.18,0,0,0,0,48.84,34.6,0,30.89,0,0,2.98,37.16,28.27,74.17,28.23,87.79,22.2,84.86,22.09,69.16,40.05,29.64,0,116.23,0,0,0,0,0,49.66,0,0,29.99,0,79.42,2.99,23.92,28.39,74.31,28.35,86.35,27.39,62.22,27.29,77.32,30.91,30.01,0,115.22,0,0,0,0,0,0,0,0,0,0,67.42,2.99,24.5,30.51,75.94,30.51,64.01,30.22,62.17,30.22,57,32.79,31.89,0,89.97,89.99,0,0,0,0,49.04,0,0,32.13,0,0,2.98,38.31,28.66,74.12,28.62,87.81,30.14,61.6,30.02,72.83,41.78,30.03,0,94.29,94.31,0,0,0,0,49.88,0,0,32.42,0,80.73,2.98,36.03,30.59,75.91,30.55,88.12,28.58,62.64,28.45,70.22,33.12,32.22,0,87.58,87.6,0,0,0,0,48.47,0,0,31.01,0,0,2.98,39.56,28.52,75.87,28.48,88.74,32.18,62.59,32.07,78.76,43.62,29.88,0,91.09,91.11,0,0,0,0,0,0,0,32.68,0,0,2.98,37.73,30.5,74.25,30.5,67.62,29.42,62.94,29.3,70.15,41.04,31.69,0,92.13,92.15,0,0,0,0,49.39,35.22,0,30.83,0,0,2.98,37.18,28.47,74.04,28.43,86.96,22.08,83.68,21.97,69.25,40.06,29.84,0,116.94,0,0,0,0,0,0,36.57,0,0,0,61.1,2.99,23.51,30.2,75.38,30.2,68.49,26.16,85.28,26.16,59.69,32.45,31.55,0,96.52,96.54,0,0,0,0,49.86,0,0,31.54,0,76.58,2.98,34.84,29.29,73.13,29.25,86.86,26.85,62.91,26.73,71.6,31.8,30.9,0,92.97,92.99,0,0,0,0,49.63,0,0,0,0,97.02,2.98,36.73,29.57,76.88,29.53,87.59,32.4,62.94,32.4,58.52,32.21,31.31
8,0,115.57,0,0,0,0,0,49.18,34.83,0,30.53,0,74.49,2.99,24.3,29.41,74.52,29.37,88.29,21.3,83.57,21.19,69.47,31.91,31.01,0,95.73,95.75,0,0,0,0,49.2,0,0,31.82,0,75.23,2.98,35.27,30.06,74.6,30.02,88.9,27.38,63.13,27.26,71.17,32.56,31.66,0,89.69,89.71,0,0,0,0,0,0,0,32.87,0,0,2.98,38.46,30.5,73.43,30.5,62.26,30.79,63.62,30.66,70.82,42.27,31.69,0,91.37,91.38,0,0,0,0,49.04,0,0,32.52,0,0,2.98,37.58,27.74,74.04,27.7,86.89,29.47,63.9,29.34,70.76,40.96,29.11,0,116.65,0,0,0,0,0,49.54,0,0,0,0,76.87,2.99,23.68,28.61,73.46,28.57,86.8,29.68,61.56,29.68,58.44,31.11,30.21,0,117.64,0,0,0,0,0,50.11,0,0,32.09,0,75.23,2.99,23.11,28.09,71.09,28.05,85.18,26.33,61.6,26.21,69.17,30.59,29.69,0,93.25,93.27,0,0,0,0,49.82,36.14,0,30.03,0,0,2.98,36.59,28.08,73.9,28.04,85.74,21.73,81.7,21.62,71.51,39.57,29.45,0,94.82,94.83,0,0,0,0,49.94,35.76,0,30.47,0,76.64,2.98,35.75,30.73,74.09,30.69,88.16,21.84,82.5,21.73,70.21,33.24,32.34,0,88.78,88.8,0,0,0,0,48.46,38.23,0,0,0,0,2.98,38.93,28.01,74.56,27.97,88.24,30.73,86.79,30.73,59.51,42.92,29.37,0,89.53,89.54,0,0,0,0,0,0,0,33.02,0,0,2.98,38.55,30.5,73.37,30.5,65.11,30.31,61.87,30.19,69.78,42.09,31.69,0,92.56,92.58,0,0,0,0,49.07,34.92,0,30.67,0,0,2.98,36.95,27.97,74.22,27.93,87.07,22.11,84.22,21.99,69.81,39.89,29.34,0,118.16,0,0,0,0,0,49.33,36.7,0,0,0,70.13,2.99,22.81,28.35,72.31,28.31,86.94,25.4,84.3,25.4,58.68,30.82,29.92,0,97.22,97.24,0,0,0,0,50.12,0,0,32.17,0,72.79,2.97,34.46,29.42,72.02,29.38,86.49,26.57,60.89,26.44,69.12,31.91,31.01,0,94.22,94.24,0,0,0,0,49.45,0,0,32.52,0,90.44,2.98,36.07,29.67,73.22,29.63,88.03,29.17,60.88,29.04,70.47,32.25,31.35
9,0,115.15,0,0,0,0,0,0,34.97,0,30.67,0,55.9,2.99,24.54,31.74,72.89,31.74,64.92,21.43,83.45,21.32,69.14,33.96,33.06,0,95.57,95.59,0,0,0,0,49.94,0,0,30.61,0,74.63,2.98,35.35,30.28,73.09,30.24,87.7,27.7,62.29,27.59,75.61,32.78,31.88,0,89.21,89.22,0,0,0,0,49.59,0,0,31.95,0,0,2.98,38.71,28.03,72.67,27.99,86.12,31.33,61.64,31.21,74.67,42.67,29.4,0,91.24,91.25,0,0,0,0,48.72,0,0,32.06,0,0,2.98,37.65,27.24,72.79,27.2,86.99,29.77,62.74,29.65,72.72,41.14,28.61,0,118.89,0,0,0,0,0,50.08,37.26,0,0,0,65.39,2.99,22.39,28.44,72.42,28.4,85.57,24.88,82.76,24.88,55.78,30.89,29.99,0,117.79,0,0,0,0,0,50.43,35.49,0,30.74,0,71.38,2.99,23.02,28.18,67.85,28.14,84.64,19.52,80.64,19.41,66.97,30.66,29.76,0,91.08,91.09,0,0,0,0,49.52,38.28,0,0,0,0,2.98,37.73,27.58,73.04,27.54,85.81,28.96,84.91,28.96,57.95,41.19,28.95,0,91.32,91.34,0,0,0,0,0,36.81,0,30.57,0,0,2.98,37.6,30.5,71.99,30.5,61.23,22.8,81.57,22.69,70.83,40.94,31.69,0,111.43,0,0,0,0,0,0,37.47,0,0,0,0,2.99,26.65,29.37,73.94,29.37,65.26,28.91,86.38,28.91,57.46,39.1,30.56,0,90.98,91,0,0,0,0,49.8,0,0,31.97,0,0,2.98,37.78,28.13,71.97,28.09,85.83,29.96,60.99,29.84,73.21,41.32,29.51,0,91.79,91.81,0,0,0,0,49.45,0,0,31.9,0,0,2.98,37.36,27.43,71.79,27.39,85.79,29.48,63.21,29.36,72.98,40.78,28.8,0,119.75,0,0,0,0,0,50.64,34.4,0,30.53,0,60.61,2.99,21.89,28.23,72.94,28.19,84.27,18.61,81.62,18.5,66.78,30.66,29.76,0,97.39,97.41,0,0,0,0,49.91,35.19,0,29.75,0,70.11,2.97,34.37,29.58,73.41,29.54,87.05,20.16,81.81,20.06,70.85,32.05,31.15,0,94.69,94.7,0,0,0,0,0,35.43,0,31.53,0,68.76,2.98,35.82,32.27,74.81,32.27,67.41,22.12,83.35,22,66.9,34.56,33.66
